SeriesPremieres,,,,,,,,
 Title,TMS Number,No Images SH's,,Category,Hopper 3,GN,MV,RMS/STB
Queen Sugar,EP024630770001,,9/6/16,Series Premieres,,Banner,Banner,Banner
StartUp,EP024731110001,,9/6/16,Series Premieres,,Iconic,Banner,No Image Available
Atlanta,EP024673340001,,9/6/16,Series Premieres,,Banner,Banner,Iconic
Better Things,EP024549970001Ò,,9/8/16,Series Premieres,Default image,Banner,Banner,Default image
Quarry,EP024587190001,,9/9/16,Series Premieres,Default image,Iconic,Banner,Default image
Matter of Fact With Soledad O'Brien,EP024935170001,,9/10/16,Series Premieres,Default image,No Image Available,No Image Available,Default image
Rich and Acquitted,EP024901810002,,9/10/16,Series Premieres,,Banner,No Image Available,Default image
Hollywood Homicide Uncovered,EP024901820001,,9/10/16,Series Premieres,,Banner,No Image Available,Default image
The Security Brief With Paul Viollis,EP022099260047,,9/12/16,Series Premieres,,Banner,Banner,Default image
Today's Homeowner With Danny Lipford,EP002695090456,,9/12/16,Series Premieres,,Banner,Banner,Banner
Brain Games: Family Edition,EP024838950001,SH024838950000,9/12/16,Series Premieres,,No Image Available,No Image Available,Default image
Crime Watch Daily With Chris Hansen,EP024971070001,,9/12/16,Series Premieres,,Banner,No Image Available,Default image
Sacred Steel Bikes,EP024684000000,,9/12/16,Series Premieres,Default image,Banner,Banner,Default image
Polly and the Zhu Zhu Pets,EP024971130001,SH024971130000,9/12/16,Series Premieres,,No Image Available,No Image Available,No Image Available
The T.D. Jakes Show,EP022362490021,,9/12/16,Series Premieres,,Banner,Banner,Microphone default image
The Robert Irvine Show,EP024839920001,,9/12/16,Series Premieres,,Banner,Banner,Default image
The Verdict With Judge Hatchett,EP024785370001,,9/12/16,Series Premieres,,Banner,Banner,Default image
Deadliest Catch: Dungeon Cove,EP024806120002,,9/13/16,Series Premieres,Discover Logo,Banner,Banner,Default image
The Contenders -- 16 for '16,EP024682950001 ,,9/13/16,Series Premieres,,Banner,Banner,Default image
Taking Fire,EP024894030001,,9/13/16,Series Premieres,Discover Logo,Banner,No Image Available,Default image
Still Alive,EP022526230002,SH022526230000,9/14/16,Series Premieres,Discover Logo,No Image Available,No Image Available,Default image
Legends of Chamberlain Heights,EP024862370002,,9/14/16,Series Premieres,Default Logo,Banner,Banner,Default image
Forces of Nature,EP024683510001,,9/14/16,Series Premieres,,Banner,Banner,Default image
90 Day Fianc_: Happily Ever After?,EP024872400001,,9/18/16,Series Premieres,,Banner,No Image Available,Default image
High Maintenance,EP021733040001,,9/19/16,Series Premieres,,Iconic,Banner,Default image
The Case of: JonBen_t Ramsey,EP024559650001,,9/18/16,Series Premieres,,Iconic,Banner,No Image Available
Up Late NW,SH022506820000 ,,9/19/16,Series Premieres,,Banner,Banner,Iconic
The Good Place,EP023490440002,,9/19/16,Series Premieres,,Banner,Banner,No Image Available
Kevin Can Wait,EP024336450001,,9/19/16,Series Premieres,,Banner,Banner,No Image Available
Bull,EP024336970001,,9/20/16,Series Premieres,,Banner,Banner,No Image Available
This Is Us,EP024314420001,,9/20/16,Series Premieres,,Banner,Banner,No Image Available
India: Nature's Wonderland,EP024683910001,,9/21/16,Series Premieres,,Iconic,Banner,No Image Available
Falling Water,EP024967720001,SH024967720000,9/21/16,Series Premieres,Grey Dish Logo,No Image Available,No Image Available,No Image Available
Designated Survivor,EP024326640001,,9/21/16,Series Premieres,,Banner,Banner,No Image Available
Lethal Weapon,EP024315390001,,9/21/16,Series Premieres,,Banner,Banner,No Image Available
Speechless,EP024328480001,,9/21/16,Series Premieres,,Banner,Banner,No Image Available
Notorious ,EP024327030001,,9/22/16,Series Premieres,,Banner,Banner,No Image Available
Pitch,EP024315580001 ,,9/22/16,Series Premieres,,Banner,Banner,No Image Available
The Good Place,EP023490440004,,9/22/16,Series Premieres,,Banner,Banner,No Image Available
The Exorcist,EP024315220001 ,,9/23/16,Series Premieres,,Banner,Banner,No Image Available
Van Helsing,EP024222210002,,9/23/16,Series Premieres,,Banner,Banner,Iconic
MacGyver,EP024337050001,,9/23/16,Series Premieres,,Banner,Banner,No Image Available
Son of Zorn,EP023060390001 ,,9/25/16,Series Premieres,,Banner,Banner,No Image Available
VICE News Tonight,EP024839520001,SH024839520000,9/26/16,Series Premieres,Grey Dish Logo,No Image Available,Banner,No Image Available
Star Plates,EP024681490001,SH024681490000,9/27/16,Series Premieres,Grey Dish Logo,No Image Available,No Image Available,No Image Available
Aftermath,EP024855500001,SH024855500000,9/27/16,Series Premieres,,Iconic,Banner,No Image Available
Channel Zero: Candle Cove,EP024855460001,SH024855460000,9/27/16,Series Premieres,Grey Dish Logo,No Image Available,No Image Available,No Image Available
Big Brother: Over the Top,EP025044170001,SH025044170000,9/27/16,Series Premieres,,No Image Available,No Image Available,No Image Available
Marvel's Luke Cage,EP023956990001,,9/30/16,Series Premieres,,Banner,Banner,No Image Available
Dinner Spinner,EP025014590001,SH025014590000,10/1/16,Series Premieres,,No Image Available,No Image Available,No Image Available
Give,EP024879510001,SH024879510000,10/1/16,Series Premieres,Grey Dish Logo,No Image Available,No Image Available,No Image Available
Heart of a Champion With Lauren Thompson,EP024879570001,SH024879570000,10/1/16,Series Premieres,Grey Dish Logo,No Image Available,No Image Available,No Image Available
Journey With Dylan Dreyer,EP024879380001,SH024879380000,10/1/16,Series Premieres,Grey Dish Logo,No Image Available,No Image Available,No Image Available
"Naturally, Danny Seo",EP024879450001,SH024879450000,10/1/16,Series Premieres,Grey Dish Logo,No Image Available,No Image Available,No Image Available
Ocean Treks With Jeff Corwin,EP024799110001,SH024799110000,10/1/16,Series Premieres,ABC Logo,No Image Available,Banner,ABC Logo
The Open Road With Dr. Chris,EP024818880001,SH024818880000,10/1/16,Series Premieres,CBS Logo,No Image Available,Banner,CBS Logo
The Voyager With Josh Garcia,EP024879270001,SH024879270000,10/1/16,Series Premieres,Grey Dish Logo,No Image Available,No Image Available,No Image Available
Wilderness Vet,EP024879350001,SH024879350000,10/1/16,Series Premieres,Grey Dish Logo,No Image Available,No Image Available,No Image Available
Westworld,EP024769640001,,10/2/16,Series Premieres,,Iconic,No Image Available,No Image Available
Conviction,EP024326480001,,10/3/16,Series Premieres,,Banner,Banner,No Image Available
Timeless,EP024314500001 ,,10/3/16,Series Premieres,,Banner,Banner,No Image Available
No Tomorrow,EP024345470001 ,,10/4/16,Series Premieres,,Banner,Banner,No Image Available
Frequency,EP024345870001,,10/5/16,Series Premieres,,Banner,Banner,No Image Available
Divorce,EP024769610001,,10/9/16,Series Premieres,,Iconic,Banner,No Image Available
Insecure,EP024769620001,,10/9/16,Series Premieres,,Iconic,Banner,No Image Available
American Housewife ,EP024327770001,,10/11/16,Series Premieres,,Banner,Banner,No Image Available
WWII Megaweapons,EP024952030001,SH024952030000,10/12/16,Series Premieres,Grey Dish Logo,No Image Available,No Image Available,No Image Available
Goliath,EP025011280001,SH025011280000,10/14/16,Series Premieres,Grey Dish Logo,No Image Available,No Image Available,No Image Available
Eyewitness,EP024968360001,SH024968360000,10/16/16,Series Premieres,Grey Dish Logo,No Image Available,No Image Available,No Image Available
Chance,EP024590970001 ,,10/19/16,Series Premieres,,Iconic,Banner,No Image Available
Man With a Plan,EP024336590001,,10/24/16,Series Premieres,,Banner,Banner,No Image Available
Pure Genius,EP024337180001,,10/27/16,Series Premieres,,Banner,Banner,No Image Available
The Great Indoors,EP024336730001,,10/27/16,Series Premieres,,Banner,Banner,No Image Available
Tracey Ullman's Show,EP023490760001,,10/28/16,Series Premieres,,Banner,No Image Available,No Image Available
Save to Win,EP025014630001,SH025014630000,11/5/16,Series Premieres,Grey Dish Logo,No Image Available,No Image Available,No Image Available
Shut Eye,EP024731320001,SH024731320000,12/7/16,Series Premieres,,No Image Available,Banner,No Image Available